seriesID,date,value
CUURA316SAA,February-1982,98.6
CUURA316SAA,April-1982,97.6
CUURA316SAA,June-1982,97.6
CUURA316SAA,August-1982,96.2
CUURA316SAA,October-1982,96.6
CUURA316SAA,December-1982,96.8
CUURA316SAA,February-1983,98.4
CUURA316SAA,April-1983,101.1
CUURA316SAA,June-1983,98.6
CUURA316SAA,August-1983,99.9
CUURA316SAA,October-1983,100.7
CUURA316SAA,December-1983,100.1
CUURA316SAA,February-1984,103.3
CUURA316SAA,April-1984,102.8
CUURA316SAA,June-1984,99.6
CUURA316SAA,August-1984,101.0
CUURA316SAA,October-1984,107.0
CUURA316SAA,December-1984,106.8
CUURA316SAA,February-1985,106.2
CUURA316SAA,April-1985,105.8
CUURA316SAA,June-1985,106.4
CUURA316SAA,August-1985,108.7
CUURA316SAA,October-1985,110.8
CUURA316SAA,December-1985,108.5
CUURA316SAA,February-1986,107.0
CUURA316SAA,April-1986,106.2
CUURA316SAA,June-1986,106.6
CUURA316SAA,August-1986,109.2
CUURA316SAA,October-1986,109.7
CUURA316SAA,December-1986,106.5
CUURA316SAA,February-1987,108.2
CUURA316SAA,April-1987,117.5
CUURA316SAA,June-1987,114.9
CUURA316SAA,August-1987,113.9
CUURA316SAA,October-1987,118.5
CUURA316SAA,December-1987,116.5
CUURA316SAA,February-1988,117.4
CUURA316SAA,April-1988,125.1
CUURA316SAA,June-1988,120.0
CUURA316SAA,August-1988,123.0
CUURA316SAA,October-1988,128.8
CUURA316SAA,December-1988,126.7
CUURA316SAA,February-1989,118.4
CUURA316SAA,April-1989,130.0
CUURA316SAA,June-1989,122.8
CUURA316SAA,August-1989,124.6
CUURA316SAA,October-1989,126.1
CUURA316SAA,December-1989,124.9
CUURA316SAA,February-1990,133.6
CUURA316SAA,April-1990,136.1
CUURA316SAA,June-1990,133.0
CUURA316SAA,August-1990,137.7
CUURA316SAA,October-1990,146.2
CUURA316SAA,December-1990,142.7
CUURA316SAA,February-1991,149.8
CUURA316SAA,April-1991,154.1
CUURA316SAA,June-1991,146.9
CUURA316SAA,August-1991,150.6
CUURA316SAA,October-1991,166.3
CUURA316SAA,December-1991,142.8
CUURA316SAA,February-1992,157.5
CUURA316SAA,April-1992,152.4
CUURA316SAA,June-1992,147.6
CUURA316SAA,August-1992,144.5
CUURA316SAA,October-1992,157.9
CUURA316SAA,December-1992,149.9
CUURA316SAA,February-1993,144.3
CUURA316SAA,April-1993,161.5
CUURA316SAA,June-1993,142.8
CUURA316SAA,August-1993,139.7
CUURA316SAA,October-1993,153.9
CUURA316SAA,December-1993,143.3
CUURA316SAA,February-1994,148.0
CUURA316SAA,April-1994,147.6
CUURA316SAA,June-1994,151.2
CUURA316SAA,August-1994,147.8
CUURA316SAA,October-1994,149.3
CUURA316SAA,December-1994,146.2
CUURA316SAA,February-1995,145.6
CUURA316SAA,April-1995,154.6
CUURA316SAA,June-1995,147.8
CUURA316SAA,August-1995,145.0
CUURA316SAA,October-1995,149.5
CUURA316SAA,December-1995,143.7
CUURA316SAA,February-1996,141.8
CUURA316SAA,April-1996,149.4
CUURA316SAA,June-1996,141.4
CUURA316SAA,August-1996,140.5
CUURA316SAA,October-1996,139.7
CUURA316SAA,December-1996,136.9
CUURA316SAA,February-1997,135.9
CUURA316SAA,April-1997,139.8
CUURA316SAA,June-1997,137.3
CUURA316SAA,August-1997,135.4
CUURA316SAA,October-1997,138.4
CUURA316SAA,December-1997,136.5
CUURA316SAA,January-1998,130.2
CUURA316SAA,March-1998,146.9
CUURA316SAA,May-1998,144.7
CUURA316SAA,July-1998,135.2
CUURA316SAA,September-1998,131.1
CUURA316SAA,November-1998,130.6
CUURA316SAA,January-1999,133.6
CUURA316SAA,March-1999,148.9
CUURA316SAA,May-1999,144.9
CUURA316SAA,July-1999,134.5
CUURA316SAA,September-1999,144.1
CUURA316SAA,November-1999,140.0
CUURA316SAA,January-2000,128.6
CUURA316SAA,March-2000,146.4
CUURA316SAA,May-2000,139.6
CUURA316SAA,July-2000,133.2
CUURA316SAA,September-2000,135.4
CUURA316SAA,November-2000,138.0
CUURA316SAA,January-2001,145.2
CUURA316SAA,March-2001,156.1
CUURA316SAA,May-2001,140.3
CUURA316SAA,July-2001,134.7
CUURA316SAA,September-2001,144.8
CUURA316SAA,November-2001,143.4
CUURA316SAA,January-2002,131.3
CUURA316SAA,March-2002,139.9
CUURA316SAA,May-2002,142.1
CUURA316SAA,July-2002,132.1
CUURA316SAA,September-2002,140.7
CUURA316SAA,November-2002,133.0
CUURA316SAA,January-2003,125.4
CUURA316SAA,March-2003,137.7
CUURA316SAA,May-2003,146.6
CUURA316SAA,July-2003,126.4
CUURA316SAA,September-2003,126.9
CUURA316SAA,November-2003,122.3
CUURA316SAA,January-2004,116.2
CUURA316SAA,March-2004,138.3
CUURA316SAA,May-2004,132.0
CUURA316SAA,July-2004,123.2
CUURA316SAA,September-2004,129.4
CUURA316SAA,November-2004,126.7
CUURA316SAA,January-2005,117.4
CUURA316SAA,March-2005,133.7
CUURA316SAA,May-2005,128.3
CUURA316SAA,July-2005,108.3
CUURA316SAA,September-2005,129.8
