seriesID,date,value
CUURA316SA0,November-2014,217.188
CUURA316SA0,September-2014,219.380
CUURA316SA0,July-2014,219.543
CUURA316SA0,May-2014,219.590
CUURA316SA0,March-2014,218.715
CUURA316SA0,January-2014,216.291
CUURA316SA0,November-2013,215.450
CUURA316SA0,September-2013,217.068
CUURA316SA0,July-2013,216.979
CUURA316SA0,May-2013,215.670
CUURA316SA0,March-2013,216.465
CUURA316SA0,January-2013,213.696
CUURA316SA0,November-2012,212.901
CUURA316SA0,September-2012,214.033
CUURA316SA0,July-2012,211.267
CUURA316SA0,May-2012,212.226
CUURA316SA0,March-2012,212.618
CUURA316SA0,January-2012,209.203
CUURA316SA0,November-2011,209.283
CUURA316SA0,September-2011,209.255
CUURA316SA0,July-2011,208.602
CUURA316SA0,May-2011,208.794
CUURA316SA0,March-2011,206.967
CUURA316SA0,January-2011,203.199
CUURA316SAF1,November-2014,244.140
CUURA316SAF1,September-2014,243.844
CUURA316SAF1,July-2014,240.455
CUURA316SAF1,May-2014,240.574
CUURA316SAF1,March-2014,239.242
CUURA316SAF1,January-2014,239.161
CUURA316SAF1,November-2013,237.375
CUURA316SAF1,September-2013,237.502
CUURA316SAF1,July-2013,236.802
CUURA316SAF1,May-2013,236.486
CUURA316SAF1,March-2013,235.765
CUURA316SAF1,January-2013,234.263
CUURA316SAF1,November-2012,233.181
CUURA316SAF1,September-2012,232.695
CUURA316SAF1,July-2012,231.479
CUURA316SAF1,May-2012,230.633
CUURA316SAF1,March-2012,230.365
CUURA316SAF1,January-2012,230.433
CUURA316SAF1,November-2011,229.304
CUURA316SAF1,September-2011,227.639
CUURA316SAF1,July-2011,225.274
CUURA316SAF1,May-2011,224.168
CUURA316SAF1,March-2011,223.665
CUURA316SAF1,January-2011,221.170
CUURA316SEHF,December-2014,218.958
CUURA316SEHF,November-2014,216.896
CUURA316SEHF,October-2014,225.412
CUURA316SEHF,September-2014,229.775
CUURA316SEHF,August-2014,228.584
CUURA316SEHF,July-2014,227.807
CUURA316SEHF,June-2014,231.525
CUURA316SEHF,May-2014,224.375
CUURA316SEHF,April-2014,215.613
CUURA316SEHF,March-2014,214.643
CUURA316SEHF,February-2014,210.285
CUURA316SEHF,January-2014,202.866
CUURA316SEHF,December-2013,201.684
CUURA316SEHF,November-2013,209.110
CUURA316SEHF,October-2013,217.462
CUURA316SEHF,September-2013,214.408
CUURA316SEHF,August-2013,213.271
CUURA316SEHF,July-2013,212.809
CUURA316SEHF,June-2013,214.827
CUURA316SEHF,May-2013,207.651
CUURA316SEHF,April-2013,200.885
CUURA316SEHF,March-2013,199.304
CUURA316SEHF,February-2013,196.891
CUURA316SEHF,January-2013,197.650
CUURA316SEHF,December-2012,198.991
CUURA316SEHF,November-2012,197.195
CUURA316SEHF,October-2012,196.165
CUURA316SEHF,September-2012,196.546
CUURA316SEHF,August-2012,197.676
CUURA316SEHF,July-2012,196.552
CUURA316SEHF,June-2012,197.313
CUURA316SEHF,May-2012,192.553
CUURA316SEHF,April-2012,190.578
CUURA316SEHF,March-2012,190.369
CUURA316SEHF,February-2012,190.998
CUURA316SEHF,January-2012,192.670
CUURA316SEHF,December-2011,195.208
CUURA316SEHF,November-2011,199.613
CUURA316SEHF,October-2011,208.262
CUURA316SEHF,September-2011,214.367
CUURA316SEHF,August-2011,212.361
CUURA316SEHF,July-2011,209.513
CUURA316SEHF,June-2011,204.556
CUURA316SEHF,May-2011,197.203
CUURA316SEHF,April-2011,192.552
CUURA316SEHF,March-2011,190.345
CUURA316SEHF,February-2011,191.131
CUURA316SEHF,January-2011,187.711
