date,value
December-2014,234.812
November-2014,236.151
October-2014,237.433
September-2014,238.031
August-2014,237.852
July-2014,238.250
June-2014,238.343
May-2014,237.900
April-2014,237.072
March-2014,236.293
February-2014,234.781
January-2014,233.916
December-2013,233.049
November-2013,233.069
October-2013,233.546
September-2013,234.149
August-2013,233.877
July-2013,233.596
June-2013,233.504
May-2013,232.945
April-2013,232.531
March-2013,232.773
February-2013,232.166
January-2013,230.280
December-2012,229.601
November-2012,230.221
October-2012,231.317
September-2012,231.407
August-2012,230.379
July-2012,229.104
June-2012,229.478
May-2012,229.815
April-2012,230.085
March-2012,229.392
February-2012,227.663
January-2012,226.665
December-2011,225.672
November-2011,226.230
October-2011,226.421
September-2011,226.889
August-2011,226.545
July-2011,225.922
June-2011,225.722
May-2011,225.964
April-2011,224.906
March-2011,223.467
February-2011,221.309
January-2011,220.223
