descrip,seriesID,date,cpi-value
All Items,CUURA316SA0,February-1982,93.6
All Items,CUURA316SA0,April-1982,94.7
All Items,CUURA316SA0,June-1982,97.2
All Items,CUURA316SA0,August-1982,97.0
All Items,CUURA316SA0,October-1982,97.8
All Items,CUURA316SA0,December-1982,96.7
All Items,CUURA316SA0,February-1983,97.1
All Items,CUURA316SA0,April-1983,98.4
All Items,CUURA316SA0,June-1983,100.1
All Items,CUURA316SA0,August-1983,100.7
All Items,CUURA316SA0,October-1983,101.5
All Items,CUURA316SA0,December-1983,101.2
All Items,CUURA316SA0,February-1984,102.9
All Items,CUURA316SA0,April-1984,103.3
All Items,CUURA316SA0,June-1984,103.8
All Items,CUURA316SA0,August-1984,105.1
All Items,CUURA316SA0,October-1984,106.4
All Items,CUURA316SA0,December-1984,105.4
All Items,CUURA316SA0,February-1985,106.2
All Items,CUURA316SA0,April-1985,107.0
All Items,CUURA316SA0,June-1985,108.3
All Items,CUURA316SA0,August-1985,109.5
All Items,CUURA316SA0,October-1985,109.6
All Items,CUURA316SA0,December-1985,109.8
All Items,CUURA316SA0,February-1986,110.6
All Items,CUURA316SA0,April-1986,108.8
All Items,CUURA316SA0,June-1986,109.9
All Items,CUURA316SA0,August-1986,110.4
All Items,CUURA316SA0,October-1986,110.3
All Items,CUURA316SA0,December-1986,109.3
All Items,CUURA316SA0,February-1987,110.9
All Items,CUURA316SA0,April-1987,112.2
All Items,CUURA316SA0,June-1987,112.9
All Items,CUURA316SA0,August-1987,113.5
All Items,CUURA316SA0,October-1987,114.9
All Items,CUURA316SA0,December-1987,113.9
All Items,CUURA316SA0,February-1988,114.0
All Items,CUURA316SA0,April-1988,115.4
All Items,CUURA316SA0,June-1988,115.6
All Items,CUURA316SA0,August-1988,117.2
All Items,CUURA316SA0,October-1988,117.9
All Items,CUURA316SA0,December-1988,117.2
All Items,CUURA316SA0,February-1989,117.5
All Items,CUURA316SA0,April-1989,118.7
All Items,CUURA316SA0,June-1989,120.0
All Items,CUURA316SA0,August-1989,120.0
All Items,CUURA316SA0,October-1989,121.4
All Items,CUURA316SA0,December-1989,120.5
All Items,CUURA316SA0,February-1990,122.2
All Items,CUURA316SA0,April-1990,122.9
All Items,CUURA316SA0,June-1990,123.8
All Items,CUURA316SA0,August-1990,126.0
All Items,CUURA316SA0,October-1990,129.5
All Items,CUURA316SA0,December-1990,128.4
All Items,CUURA316SA0,February-1991,129.4
All Items,CUURA316SA0,April-1991,129.5
All Items,CUURA316SA0,June-1991,130.1
All Items,CUURA316SA0,August-1991,131.1
All Items,CUURA316SA0,October-1991,133.6
All Items,CUURA316SA0,December-1991,132.0
All Items,CUURA316SA0,February-1992,132.4
All Items,CUURA316SA0,April-1992,132.5
All Items,CUURA316SA0,June-1992,134.2
All Items,CUURA316SA0,August-1992,134.4
All Items,CUURA316SA0,October-1992,136.1
All Items,CUURA316SA0,December-1992,134.6
All Items,CUURA316SA0,February-1993,135.4
All Items,CUURA316SA0,April-1993,137.0
All Items,CUURA316SA0,June-1993,136.2
All Items,CUURA316SA0,August-1993,138.1
