seriesID,date,value
CUURA316SAE,January-2010,136.631
CUURA316SAE,March-2010,136.497
CUURA316SAE,May-2010,136.369
CUURA316SAE,July-2010,137.100
CUURA316SAE,September-2010,138.368
CUURA316SAE,November-2010,137.698
CUURA316SAE,January-2011,137.575
CUURA316SAE,March-2011,137.305
CUURA316SAE,May-2011,136.378
CUURA316SAE,July-2011,137.471
CUURA316SAE,September-2011,138.289
CUURA316SAE,November-2011,138.135
CUURA316SAE,January-2012,138.738
CUURA316SAE,March-2012,138.202
CUURA316SAE,May-2012,138.126
CUURA316SAE,July-2012,138.482
CUURA316SAE,September-2012,138.851
CUURA316SAE,November-2012,139.710
CUURA316SAE,January-2013,140.751
CUURA316SAE,March-2013,141.409
CUURA316SAE,May-2013,141.226
CUURA316SAE,July-2013,138.898
CUURA316SAE,September-2013,139.943
CUURA316SAE,November-2013,140.163
CUURA316SAE,January-2014,140.781
CUURA316SAE,March-2014,140.716
CUURA316SAE,May-2014,138.863
CUURA316SAE,July-2014,139.247
CUURA316SAE,September-2014,140.132
CUURA316SAE,November-2014,137.720
CUURA316SAE,January-2015,137.420
CUURA316SAE,March-2015,137.094
CUURA316SAF,January-2010,222.341
CUURA316SAF,March-2010,223.026
CUURA316SAF,May-2010,222.261
CUURA316SAF,July-2010,223.807
CUURA316SAF,September-2010,224.381
CUURA316SAF,November-2010,223.468
CUURA316SAF,January-2011,226.470
CUURA316SAF,March-2011,228.645
CUURA316SAF,May-2011,229.349
CUURA316SAF,July-2011,230.293
CUURA316SAF,September-2011,232.668
CUURA316SAF,November-2011,234.721
CUURA316SAF,January-2012,235.606
CUURA316SAF,March-2012,235.629
CUURA316SAF,May-2012,235.895
CUURA316SAF,July-2012,236.688
CUURA316SAF,September-2012,238.012
CUURA316SAF,November-2012,238.730
CUURA316SAF,January-2013,239.781
CUURA316SAF,March-2013,241.362
CUURA316SAF,May-2013,242.158
CUURA316SAF,July-2013,242.515
CUURA316SAF,September-2013,243.322
CUURA316SAF,November-2013,243.225
CUURA316SAF,January-2014,244.901
CUURA316SAF,March-2014,244.707
CUURA316SAF,May-2014,246.349
CUURA316SAF,July-2014,245.785
CUURA316SAF,September-2014,249.118
CUURA316SAF,November-2014,249.432
CUURA316SAF,January-2015,249.845
CUURA316SAF,March-2015,249.256
CUURA316SAG,January-2010,349.500
CUURA316SAG,March-2010,349.861
CUURA316SAG,May-2010,345.061
CUURA316SAG,July-2010,358.922
CUURA316SAG,September-2010,353.949
CUURA316SAG,November-2010,356.766
CUURA316SAG,January-2011,357.102
CUURA316SAG,March-2011,357.764
CUURA316SAG,May-2011,353.583
CUURA316SAG,July-2011,354.567
CUURA316SAG,September-2011,350.640
CUURA316SAG,November-2011,359.459
CUURA316SAG,January-2012,356.795
CUURA316SAG,March-2012,367.022
CUURA316SAG,May-2012,362.400
CUURA316SAG,July-2012,366.982
CUURA316SAG,September-2012,370.271
CUURA316SAG,November-2012,371.400
CUURA316SAG,January-2013,371.680
CUURA316SAG,March-2013,372.363
CUURA316SAG,May-2013,373.737
CUURA316SAG,July-2013,371.983
CUURA316SAG,September-2013,373.117
CUURA316SAG,November-2013,375.645
CUURA316SAG,January-2014,376.898
CUURA316SAG,March-2014,373.894
CUURA316SAG,May-2014,376.818
CUURA316SAG,July-2014,375.761
CUURA316SAG,September-2014,377.702
CUURA316SAG,November-2014,377.385
CUURA316SAG,January-2015,380.701
CUURA316SAG,March-2015,380.736
CUURA316SAH,January-2010,180.119
CUURA316SAH,March-2010,178.767
CUURA316SAH,May-2010,178.694
CUURA316SAH,July-2010,179.231
CUURA316SAH,September-2010,179.090
CUURA316SAH,November-2010,177.027
CUURA316SAH,January-2011,177.624
CUURA316SAH,March-2011,178.929
CUURA316SAH,May-2011,180.047
CUURA316SAH,July-2011,181.514
