seriesID,date,CPI
CUUR0000SA0,01-1984,101.9
CUUR0000SA0,02-1984,102.4
CUUR0000SA0,03-1984,102.6
CUUR0000SA0,04-1984,103.1
CUUR0000SA0,05-1984,103.4
CUUR0000SA0,06-1984,103.7
CUUR0000SA0,07-1984,104.1
CUUR0000SA0,08-1984,104.5
CUUR0000SA0,09-1984,105
CUUR0000SA0,10-1984,105.3
CUUR0000SA0,11-1984,105.3
CUUR0000SA0,12-1984,105.3
CUUR0000SA0,01-1985,105.5
CUUR0000SA0,02-1985,106
CUUR0000SA0,03-1985,106.4
CUUR0000SA0,04-1985,106.9
CUUR0000SA0,05-1985,107.3
CUUR0000SA0,06-1985,107.6
CUUR0000SA0,07-1985,107.8
CUUR0000SA0,08-1985,108
CUUR0000SA0,09-1985,108.3
CUUR0000SA0,10-1985,108.7
CUUR0000SA0,11-1985,109
CUUR0000SA0,12-1985,109.3
CUUR0000SA0,01-1986,109.6
CUUR0000SA0,02-1986,109.3
CUUR0000SA0,03-1986,108.8
CUUR0000SA0,04-1986,108.6
CUUR0000SA0,05-1986,108.9
CUUR0000SA0,06-1986,109.5
CUUR0000SA0,07-1986,109.5
CUUR0000SA0,08-1986,109.7
CUUR0000SA0,09-1986,110.2
CUUR0000SA0,10-1986,110.3
CUUR0000SA0,11-1986,110.4
CUUR0000SA0,12-1986,110.5
CUUR0000SA0,01-1987,111.2
CUUR0000SA0,02-1987,111.6
CUUR0000SA0,03-1987,112.1
CUUR0000SA0,04-1987,112.7
CUUR0000SA0,05-1987,113.1
CUUR0000SA0,06-1987,113.5
CUUR0000SA0,07-1987,113.8
CUUR0000SA0,08-1987,114.4
CUUR0000SA0,09-1987,115
CUUR0000SA0,10-1987,115.3
CUUR0000SA0,11-1987,115.4
CUUR0000SA0,12-1987,115.4
CUUR0000SA0,01-1988,115.7
CUUR0000SA0,02-1988,116
CUUR0000SA0,03-1988,116.5
CUUR0000SA0,04-1988,117.1
CUUR0000SA0,05-1988,117.5
CUUR0000SA0,06-1988,118
CUUR0000SA0,07-1988,118.5
CUUR0000SA0,08-1988,119
CUUR0000SA0,09-1988,119.8
CUUR0000SA0,10-1988,120.2
CUUR0000SA0,11-1988,120.3
CUUR0000SA0,12-1988,120.5
CUUR0000SA0,01-1989,121.1
CUUR0000SA0,02-1989,121.6
CUUR0000SA0,03-1989,122.3
CUUR0000SA0,04-1989,123.1
CUUR0000SA0,05-1989,123.8
CUUR0000SA0,06-1989,124.1
CUUR0000SA0,07-1989,124.4
CUUR0000SA0,08-1989,124.6
CUUR0000SA0,09-1989,125
CUUR0000SA0,10-1989,125.6
CUUR0000SA0,11-1989,125.9
CUUR0000SA0,12-1989,126.1
CUUR0000SA0,01-1990,127.4
CUUR0000SA0,02-1990,128
CUUR0000SA0,03-1990,128.7
CUUR0000SA0,04-1990,128.9
CUUR0000SA0,05-1990,129.2
CUUR0000SA0,06-1990,129.9
CUUR0000SA0,07-1990,130.4
CUUR0000SA0,08-1990,131.6
CUUR0000SA0,09-1990,132.7
CUUR0000SA0,10-1990,133.5
CUUR0000SA0,11-1990,133.8
CUUR0000SA0,12-1990,133.8
CUUR0000SA0,01-1991,134.6
CUUR0000SA0,02-1991,134.8
CUUR0000SA0,03-1991,135
CUUR0000SA0,04-1991,135.2
CUUR0000SA0,05-1991,135.6
CUUR0000SA0,06-1991,136
CUUR0000SA0,07-1991,136.2
CUUR0000SA0,08-1991,136.6
CUUR0000SA0,09-1991,137.2
CUUR0000SA0,10-1991,137.4
CUUR0000SA0,11-1991,137.8
CUUR0000SA0,12-1991,137.9
CUUR0000SA0,01-1992,138.1
CUUR0000SA0,02-1992,138.6
CUUR0000SA0,03-1992,139.3
CUUR0000SA0,04-1992,139.5
CUUR0000SA0,05-1992,139.7
CUUR0000SA0,06-1992,140.2
CUUR0000SA0,07-1992,140.5
CUUR0000SA0,08-1992,140.9
CUUR0000SA0,09-1992,141.3
CUUR0000SA0,10-1992,141.8
CUUR0000SA0,11-1992,142
CUUR0000SA0,12-1992,141.9
CUUR0000SA0,01-1993,142.6
CUUR0000SA0,02-1993,143.1
CUUR0000SA0,03-1993,143.6
CUUR0000SA0,04-1993,144
CUUR0000SA0,05-1993,144.2
CUUR0000SA0,06-1993,144.4
CUUR0000SA0,07-1993,144.4
CUUR0000SA0,08-1993,144.8
CUUR0000SA0,09-1993,145.1
CUUR0000SA0,10-1993,145.7
CUUR0000SA0,11-1993,145.8
CUUR0000SA0,12-1993,145.8
CUUR0000SA0,01-1994,146.2
CUUR0000SA0,02-1994,146.7
CUUR0000SA0,03-1994,147.2
CUUR0000SA0,04-1994,147.4
CUUR0000SA0,05-1994,147.5
CUUR0000SA0,06-1994,148
CUUR0000SA0,07-1994,148.4
CUUR0000SA0,08-1994,149
CUUR0000SA0,09-1994,149.4
CUUR0000SA0,10-1994,149.5
CUUR0000SA0,11-1994,149.7
CUUR0000SA0,12-1994,149.7
CUUR0000SA0,01-1995,150.3
CUUR0000SA0,02-1995,150.9
CUUR0000SA0,03-1995,151.4
CUUR0000SA0,04-1995,151.9
CUUR0000SA0,05-1995,152.2
CUUR0000SA0,06-1995,152.5
CUUR0000SA0,07-1995,152.5
CUUR0000SA0,08-1995,152.9
CUUR0000SA0,09-1995,153.2
CUUR0000SA0,10-1995,153.7
CUUR0000SA0,11-1995,153.6
CUUR0000SA0,12-1995,153.5
CUUR0000SA0,01-1996,154.4
CUUR0000SA0,02-1996,154.9
CUUR0000SA0,03-1996,155.7
CUUR0000SA0,04-1996,156.3
CUUR0000SA0,05-1996,156.6
CUUR0000SA0,06-1996,156.7
CUUR0000SA0,07-1996,157
CUUR0000SA0,08-1996,157.3
CUUR0000SA0,09-1996,157.8
CUUR0000SA0,10-1996,158.3
CUUR0000SA0,11-1996,158.6
CUUR0000SA0,12-1996,158.6
CUUR0000SA0,01-1997,159.1
CUUR0000SA0,02-1997,159.6
CUUR0000SA0,03-1997,160
CUUR0000SA0,04-1997,160.2
CUUR0000SA0,05-1997,160.1
CUUR0000SA0,06-1997,160.3
CUUR0000SA0,07-1997,160.5
CUUR0000SA0,08-1997,160.8
CUUR0000SA0,09-1997,161.2
CUUR0000SA0,10-1997,161.6
CUUR0000SA0,11-1997,161.5
CUUR0000SA0,12-1997,161.3
CUUR0000SA0,01-1998,161.6
CUUR0000SA0,02-1998,161.9
CUUR0000SA0,03-1998,162.2
CUUR0000SA0,04-1998,162.5
CUUR0000SA0,05-1998,162.8
CUUR0000SA0,06-1998,163
CUUR0000SA0,07-1998,163.2
CUUR0000SA0,08-1998,163.4
CUUR0000SA0,09-1998,163.6
CUUR0000SA0,10-1998,164
CUUR0000SA0,11-1998,164
CUUR0000SA0,12-1998,163.9
CUUR0000SA0,01-1999,164.3
CUUR0000SA0,02-1999,164.5
CUUR0000SA0,03-1999,165
CUUR0000SA0,04-1999,166.2
CUUR0000SA0,05-1999,166.2
CUUR0000SA0,06-1999,166.2
CUUR0000SA0,07-1999,166.7
CUUR0000SA0,08-1999,167.1
CUUR0000SA0,09-1999,167.9
CUUR0000SA0,10-1999,168.2
CUUR0000SA0,11-1999,168.3
CUUR0000SA0,12-1999,168.3
CUUR0000SA0,01-2000,168.8
CUUR0000SA0,02-2000,169.8
CUUR0000SA0,03-2000,171.2
CUUR0000SA0,04-2000,171.3
CUUR0000SA0,05-2000,171.5
CUUR0000SA0,06-2000,172.4
CUUR0000SA0,07-2000,172.8
CUUR0000SA0,08-2000,172.8
CUUR0000SA0,09-2000,173.7
CUUR0000SA0,10-2000,174
CUUR0000SA0,11-2000,174.1
CUUR0000SA0,12-2000,174
CUUR0000SA0,01-2001,175.1
CUUR0000SA0,02-2001,175.8
CUUR0000SA0,03-2001,176.2
CUUR0000SA0,04-2001,176.9
CUUR0000SA0,05-2001,177.7
CUUR0000SA0,06-2001,178
CUUR0000SA0,07-2001,177.5
CUUR0000SA0,08-2001,177.5
CUUR0000SA0,09-2001,178.3
CUUR0000SA0,10-2001,177.7
CUUR0000SA0,11-2001,177.4
CUUR0000SA0,12-2001,176.7
CUUR0000SA0,01-2002,177.1
CUUR0000SA0,02-2002,177.8
CUUR0000SA0,03-2002,178.8
CUUR0000SA0,04-2002,179.8
CUUR0000SA0,05-2002,179.8
CUUR0000SA0,06-2002,179.9
CUUR0000SA0,07-2002,180.1
CUUR0000SA0,08-2002,180.7
CUUR0000SA0,09-2002,181
CUUR0000SA0,10-2002,181.3
CUUR0000SA0,11-2002,181.3
CUUR0000SA0,12-2002,180.9
CUUR0000SA0,01-2003,181.7
CUUR0000SA0,02-2003,183.1
CUUR0000SA0,03-2003,184.2
CUUR0000SA0,04-2003,183.8
CUUR0000SA0,05-2003,183.5
CUUR0000SA0,06-2003,183.7
CUUR0000SA0,07-2003,183.9
CUUR0000SA0,08-2003,184.6
CUUR0000SA0,09-2003,185.2
CUUR0000SA0,10-2003,185
CUUR0000SA0,11-2003,184.5
